Organoid	Drug Name	median_IC50
P19a	SGC0946	0.790796
P19a	AZD8931	3.019346
P19a	Obatoclax Mesylate	-2.6507815
P19a	SB-505124	4.620986
P19a	XAV 939	2.550593
P19a	Oxaliplatin	3.9072199999999997
P19a	Nilotinib	2.288624
P19a	AMG-706	4.2248980000000005
P19a	PLX4720	2.33734
P19a	SB 216763	4.966589
P19a	CHIR-99021	5.540484999999999
P19a	BIBW2992/Afatanib	2.2350209999999997
P19a	SCH772984	-2.0889450000000003
P19a	BMN-673	2.883437
P19a	Gefitinib	2.8001150000000004
P19a	SL 0101-1	5.323955000000001
P19a	PD-173074	-0.907839
P19a	NU-7441	-0.095592
P19a	(5Z)-7-Oxozeaenol	4.503975
P19a	681640	1.623803
P19a	GDC-0449	5.230218
P19a	AZD8055	-0.969707
P19a	Gemcitibine	-4.645491000000001
P19a	Docetaxel	-3.2453990000000004
P19a	AKT inhibitor VIII	0.989034
P19a	FK866	2.7982650000000002
P19a	BI-2536	-4.554076
P19a	PF-4708671	1.720884
P19a	Lenalidomide	5.611661
P19a	LY317615	2.6878319999999998
P19a	Nutlin-3a	4.581128
P19a	INCB-18424/Ruxolitinib	5.658651
P19a	BYL719	1.8915919999999997
P19a	Paclitaxel	-4.346893
P19a	GDC0941	-0.3855075
P19a	ABT-263	4.008227
P19a	MK-2206	0.254431
P19a	UNC0642	1.022575
P19a	GW 441756	3.654153
P19a	PAC-1	3.601803
P19a	17-AAG	-3.1729529999999997
P19a	AICAR	2.738314
P19a	NVP-BEZ235	-2.294715
P19a	Cisplatin	0.102817
P19a	BMS-345541	2.2006490000000003
P19a	BMS-708163	4.855641
P19a	KU-55933	2.58567
P19a	JQ1	-0.13261099999999998
P19a	JNJ-26854165	0.15121500000000002
P19a	Sorafenib	1.8892060000000002
P19a	CEP-701	-1.268202
P19a	PF477736	-2.802669
P19a	Cetuximab	6.430866
P19a	GSK2118436/Dabrafenib	-0.591925
P19a	Irinotecan	1.667072
P19a	ZM-447439	0.362914
P19a	Dasatanib	-1.2794020000000002
P19a	Camptothecin	-3.108216
P19a	PF-562271	0.509163
P19a	Embelin	5.068167
P19a	Fulvestrant	0.59308
P19a	BX-795	2.2758130000000003
P19a	RO-3306	1.879475
P19a	GSK1120212/Tramatenib	-2.1465065
P19a	JNK Inhibitor VIII	4.526832
P19a	GSK269962A	2.246788
P19a	Bortezomib	-3.172359
P19a	Temozolomide	6.414648000000001
P19a	AZD6482	4.161809
P19a	PD-0332991	-0.877251
P19a	AZ960	1.291814
P6	PF-02341066	3.347911
P6	BIRB 0796	6.844394
P6	AZD-2281	5.133959
P6	OSI-906	4.471114
P6	Mirin	6.8341829999999995
P6	Axitinib	4.426444999999999
P6	Vorinostat	0.9913095000000001
P6	MLN8237	-0.26280749999999997
P6	5-Fluorouracil	6.5233954999999995
P6	EHT 1864	3.1688305000000003
P6	YK 4-279	1.8018845000000001
P6	BMS-536924	4.760972000000001
P6	SGC0946	2.50739
P6	AZD8931	0.7260015
P6	Obatoclax Mesylate	-0.18917
P6	SB-505124	4.6407015
P6	XAV 939	2.6930585000000002
P6	Oxaliplatin	7.169758
P6	Nilotinib	3.7502725000000003
P6	AMG-706	3.2403125
P6	PLX4720	5.236606
P6	SB 216763	4.42202
P6	CHIR-99021	2.7205250000000003
P6	BIBW2992/Afatanib	0.8050010000000001
P6	SCH772984	2.4405975
P6	BMN-673	1.8906425
P6	Gefitinib	2.9583765
P6	SL 0101-1	5.802275
P6	PD-173074	4.183391
P6	NU-7441	4.7049005
P6	(5Z)-7-Oxozeaenol	3.569662
P6	681640	4.594722000000001
P6	GDC-0449	6.1193349999999995
P6	AZD8055	2.0197025
P6	Gemcitibine	-0.8694
P6	Docetaxel	-1.9320279999999999
P6	AKT inhibitor VIII	5.802020499999999
P6	FK866	3.6188835
P6	BI-2536	-1.110873
P6	PF-4708671	0.642205
P6	Lenalidomide	5.6902740000000005
P6	LY317615	4.1159894999999995
P6	Nutlin-3a	5.104537499999999
P6	INCB-18424/Ruxolitinib	5.6770385
P6	BYL719	5.3372589999999995
P6	Paclitaxel	-1.376563
P6	GDC0941	4.054235
P6	ABT-263	4.607861
P6	MK-2206	4.5906435
P6	UNC0642	3.3757055
P6	GW 441756	4.48002
P6	PAC-1	3.532661
P6	17-AAG	0.18370099999999998
P6	AICAR	3.2954945
P6	NVP-BEZ235	-0.30778449999999996
P6	Cisplatin	1.5965885000000002
P6	BMS-345541	3.0557675
P6	BMS-708163	3.605379
P6	KU-55933	5.1543195
P6	JQ1	1.2569425
P6	JNJ-26854165	3.7210115
P6	Sorafenib	4.1403135
P6	CEP-701	2.3572085
P6	PF477736	3.927612
P6	Cetuximab	7.2273060000000005
P6	GSK2118436/Dabrafenib	6.5308465
P6	Irinotecan	1.8229549999999999
P6	ZM-447439	2.1128394999999998
P6	Dasatanib	2.672391
P6	Camptothecin	0.698609
P6	PF-562271	2.6717925
P6	Embelin	4.42534
P6	Fulvestrant	3.9153634999999998
P6	BX-795	3.6758645000000003
P6	RO-3306	5.2467215
P6	GSK1120212/Tramatenib	-3.4363495
P6	JNK Inhibitor VIII	4.3391145
P6	GSK269962A	1.3139569999999998
P6	Bortezomib	-3.0547145
P6	Temozolomide	6.7772445
P6	AZD6482	5.9186630000000005
P6	PD-0332991	3.2624885
P6	AZ960	6.2488125
P16	PF-02341066	4.147431
P16	BIRB 0796	6.8647860000000005
P16	AZD-2281	5.644361
P16	OSI-906	5.655605
P16	Mirin	9.231844
P16	Axitinib	2.376895
P16	Vorinostat	3.5114129999999997
P16	MLN8237	-0.329278
P16	5-Fluorouracil	7.525857000000001
P16	EHT 1864	6.893866
P16	YK 4-279	2.094338
P16	BMS-536924	5.023708
P16	SGC0946	3.379635
P16	AZD8931	0.912717
P16	Obatoclax Mesylate	0.06423800000000002
P16	SB-505124	3.161727
P16	XAV 939	6.045167
P16	Oxaliplatin	7.396215
P16	Nilotinib	4.72334
P16	AMG-706	4.721862000000001
P16	PLX4720	5.588303
P16	SB 216763	6.943336
P16	CHIR-99021	4.0788150000000005
P16	BIBW2992/Afatanib	0.586565
P16	SCH772984	5.022567
P16	BMN-673	3.229737
P16	Gefitinib	4.120555
P16	SL 0101-1	1.7995009999999998
P16	PD-173074	5.308174
P16	NU-7441	5.261968
P16	(5Z)-7-Oxozeaenol	3.2678119999999997
P16	681640	4.13871
P16	GDC-0449	5.392908
P16	AZD8055	2.157033
P16	Gemcitibine	1.091265
P16	Docetaxel	0.382642
P16	AKT inhibitor VIII	6.335468
P16	FK866	4.109952
P16	BI-2536	-0.343679
P16	PF-4708671	5.457123999999999
P16	Lenalidomide	6.406617
P16	LY317615	3.684478
P16	Nutlin-3a	5.005115
P16	INCB-18424/Ruxolitinib	5.9047220000000005
P16	BYL719	5.2085669999999995
P16	Paclitaxel	-0.30551
P16	GDC0941	5.112418
P16	ABT-263	5.308851
P16	MK-2206	5.7381839999999995
P16	UNC0642	4.136579
P16	GW 441756	3.038938
P16	PAC-1	5.307138
P16	17-AAG	-0.726002
P16	AICAR	3.722784
P16	NVP-BEZ235	-0.7406560000000001
P16	Cisplatin	1.633904
P16	BMS-345541	5.477277
P16	BMS-708163	5.428195
P16	KU-55933	4.914149
P16	JQ1	1.842843
P16	JNJ-26854165	5.513855
P16	Sorafenib	3.290581
P16	CEP-701	-0.24634699999999998
P16	PF477736	0.924141
P16	Cetuximab	6.770638000000001
P16	GSK2118436/Dabrafenib	5.175644
P16	Irinotecan	1.479068
P16	ZM-447439	3.6602419999999998
P16	Dasatanib	4.19726
P16	Camptothecin	-1.381653
P16	PF-562271	1.6156409999999999
P16	Embelin	6.6439070000000005
P16	Fulvestrant	2.649051
P16	BX-795	3.01748
P16	RO-3306	5.293851
P16	GSK1120212/Tramatenib	-2.2647005
P16	JNK Inhibitor VIII	4.934569000000001
P16	GSK269962A	1.683702
P16	Bortezomib	-2.907209
P16	Temozolomide	7.841138000000001
P16	AZD6482	6.255169
P16	PD-0332991	4.958581
P16	AZ960	3.546739
P19b	PF-02341066	1.755828
P19b	BIRB 0796	6.597635
P19b	AZD-2281	5.257315
P19b	OSI-906	2.4672959999999997
P19b	Mirin	5.849762
P19b	Axitinib	3.307553
P19b	Vorinostat	2.2049849999999998
P19b	MLN8237	3.015245
P19b	5-Fluorouracil	7.094225999999999
P19b	EHT 1864	2.266052
P19b	YK 4-279	3.5025779999999997
P19b	BMS-536924	0.977605
P19b	SGC0946	2.942055
P19b	AZD8931	3.5683239999999996
P19b	Obatoclax Mesylate	1.8397489999999999
P19b	SB-505124	5.518966000000001
P19b	XAV 939	5.174402
P19b	Oxaliplatin	5.464986
P19b	Nilotinib	3.521662
P19b	AMG-706	4.964976
P19b	PLX4720	4.506275
P19b	SB 216763	5.593714
P19b	CHIR-99021	4.517801
P19b	BIBW2992/Afatanib	3.367234
P19b	SCH772984	2.055223
P19b	BMN-673	5.521358
P19b	Gefitinib	2.628263
P19b	SL 0101-1	1.352308
P19b	PD-173074	4.264549
P19b	NU-7441	4.411776000000001
P19b	(5Z)-7-Oxozeaenol	5.918781
P19b	681640	4.687897
P19b	GDC-0449	5.270127
P19b	AZD8055	2.4953939999999997
P19b	Gemcitibine	0.31518
P19b	Docetaxel	-1.05369
P19b	AKT inhibitor VIII	2.625172
P19b	FK866	2.416875
P19b	BI-2536	-1.7620650000000002
P19b	PF-4708671	0.5598069999999999
P19b	Lenalidomide	5.715833
P19b	LY317615	5.131838
P19b	Nutlin-3a	6.158942
P19b	INCB-18424/Ruxolitinib	4.595671
P19b	BYL719	1.625235
P19b	Paclitaxel	-4.152729
P19b	GDC0941	0.904405
P19b	ABT-263	4.63205
P19b	MK-2206	0.9689
P19b	UNC0642	2.998373
P19b	GW 441756	4.081467
P19b	PAC-1	6.061445
P19b	17-AAG	-0.641347
P19b	AICAR	5.273014
P19b	NVP-BEZ235	-1.33928
P19b	Cisplatin	3.573494
P19b	BMS-345541	4.45171
P19b	BMS-708163	5.275713
P19b	KU-55933	6.508883999999999
P19b	JQ1	0.989535
P19b	JNJ-26854165	5.446532
P19b	Sorafenib	2.162941
P19b	CEP-701	2.773632
P19b	PF477736	1.6034979999999999
P19b	Cetuximab	6.202786
P19b	GSK2118436/Dabrafenib	5.536013
P19b	Irinotecan	5.253989
P19b	ZM-447439	4.494626
P19b	Dasatanib	0.506861
P19b	Camptothecin	0.014288999999999998
P19b	PF-562271	1.374395
P19b	Embelin	6.275853
P19b	Fulvestrant	2.9439490000000004
P19b	BX-795	2.557985
P19b	RO-3306	5.919233
P19b	GSK1120212/Tramatenib	-2.513801
P19b	JNK Inhibitor VIII	6.363868
P19b	GSK269962A	3.4959830000000003
P19b	Bortezomib	-1.255687
P19b	Temozolomide	5.610357
P19b	AZD6482	4.9902239999999995
P19b	PD-0332991	3.0857259999999997
P19b	AZ960	5.167803
P8	PF-02341066	2.681965
P8	BIRB 0796	5.345737000000001
P8	AZD-2281	3.5581440000000004
P8	OSI-906	0.050015500000000004
P8	Mirin	6.392222
P8	Axitinib	0.806794
P8	Vorinostat	0.668744
P8	MLN8237	-1.395715
P8	5-Fluorouracil	4.454369
P8	EHT 1864	6.1026235
P8	YK 4-279	1.1859060000000001
P8	BMS-536924	2.1744554999999997
P8	SGC0946	3.4614494999999996
P8	AZD8931	-2.2415
P8	Obatoclax Mesylate	-1.348044
P8	SB-505124	4.951589
P8	XAV 939	5.561291000000001
P8	Oxaliplatin	6.766317999999999
P8	Nilotinib	1.917024
P8	AMG-706	5.064953
P8	PLX4720	6.5673604999999995
P8	SB 216763	6.749344000000001
P8	CHIR-99021	4.602004
P8	BIBW2992/Afatanib	-1.542491
P8	SCH772984	5.718522
P8	BMN-673	-0.770718
P8	Gefitinib	0.8649805
P8	SL 0101-1	-0.662154
P8	PD-173074	5.031605
P8	NU-7441	3.228358
P8	(5Z)-7-Oxozeaenol	3.064853
P8	681640	4.822913
P8	GDC-0449	3.9318765
P8	AZD8055	-0.922853
P8	Gemcitibine	-4.171602
P8	Docetaxel	-3.7302779999999998
P8	AKT inhibitor VIII	4.687409499999999
P8	FK866	4.535313
P8	BI-2536	-1.143344
P8	PF-4708671	1.547774
P8	Lenalidomide	5.316024
P8	LY317615	4.772111000000001
P8	Nutlin-3a	5.658313
P8	INCB-18424/Ruxolitinib	5.4015015
P8	BYL719	1.0345365000000002
P8	Paclitaxel	-0.5603754999999999
P8	GDC0941	0.115184
P8	ABT-263	4.746149
P8	MK-2206	0.8381219999999999
P8	UNC0642	2.688456
P8	GW 441756	4.350467
P8	PAC-1	5.073605499999999
P8	17-AAG	-1.548585
P8	AICAR	0.456434
P8	NVP-BEZ235	-2.394365
P8	Cisplatin	-1.418453
P8	BMS-345541	4.030921
P8	BMS-708163	4.037823
P8	KU-55933	5.323529
P8	JQ1	-0.360746
P8	JNJ-26854165	2.7994820000000002
P8	Sorafenib	2.3457654999999997
P8	CEP-701	-0.47984399999999994
P8	PF477736	2.747643
P8	Cetuximab	3.7597720000000003
P8	GSK2118436/Dabrafenib	5.6894089999999995
P8	Irinotecan	-1.6704105
P8	ZM-447439	5.613353
P8	Dasatanib	3.3898900000000003
P8	Camptothecin	-1.599695
P8	PF-562271	1.626415
P8	Embelin	5.1652594999999994
P8	Fulvestrant	4.0693665
P8	BX-795	1.6580740000000003
P8	RO-3306	3.015211
P8	GSK1120212/Tramatenib	-2.095908
P8	JNK Inhibitor VIII	6.660991
P8	GSK269962A	1.0214
P8	Bortezomib	-1.7913655
P8	Temozolomide	7.920237500000001
P8	AZD6482	3.545003
P8	PD-0332991	1.685009
P8	AZ960	2.053012
P9	PF-02341066	1.955486
P9	BIRB 0796	6.315715
P9	AZD-2281	5.377758
P9	OSI-906	3.2338945
P9	Mirin	7.3544564999999995
P9	Axitinib	1.197158
P9	Vorinostat	1.204674
P9	MLN8237	-0.591412
P9	5-Fluorouracil	4.69449
P9	EHT 1864	5.3258125
P9	YK 4-279	1.4317864999999999
P9	BMS-536924	2.974832
P9	SGC0946	3.661213
P9	AZD8931	-1.1481370000000002
P9	Obatoclax Mesylate	-0.485246
P9	SB-505124	4.761527
P9	XAV 939	4.873539
P9	Oxaliplatin	6.160989
P9	Nilotinib	3.275633
P9	AMG-706	3.851636
P9	PLX4720	6.67053
P9	SB 216763	5.405957
P9	CHIR-99021	2.685764
P9	BIBW2992/Afatanib	1.508461
P9	SCH772984	2.7258025
P9	BMN-673	2.9791575000000003
P9	Gefitinib	1.26206
P9	SL 0101-1	-0.345709
P9	PD-173074	4.127085
P9	NU-7441	1.359658
P9	(5Z)-7-Oxozeaenol	4.033032
P9	681640	4.912205999999999
P9	GDC-0449	4.01267
P9	AZD8055	-0.030779
P9	Gemcitibine	-3.1656325
P9	Docetaxel	-3.1560040000000003
P9	AKT inhibitor VIII	4.276770000000001
P9	FK866	4.0386524999999995
P9	BI-2536	-3.119724
P9	PF-4708671	2.28559
P9	Lenalidomide	5.775468
P9	LY317615	2.988128
P9	Nutlin-3a	5.047544
P9	INCB-18424/Ruxolitinib	6.345147
P9	BYL719	0.826343
P9	Paclitaxel	-3.314372
P9	GDC0941	0.42372299999999996
P9	ABT-263	4.196299
P9	MK-2206	0.348806
P9	UNC0642	2.9223879999999998
P9	GW 441756	3.4829849999999998
P9	PAC-1	5.918685
P9	17-AAG	-3.06327
P9	AICAR	1.358954
P9	NVP-BEZ235	-2.475701
P9	Cisplatin	0.494763
P9	BMS-345541	2.6663664999999996
P9	BMS-708163	4.918398000000001
P9	KU-55933	6.538379
P9	JQ1	-0.416414
P9	JNJ-26854165	3.4127314999999996
P9	Sorafenib	4.1447195
P9	CEP-701	-0.897259
P9	PF477736	2.6071605
P9	Cetuximab	6.2988040000000005
P9	GSK2118436/Dabrafenib	1.287364
P9	Irinotecan	3.230563
P9	ZM-447439	1.69602
P9	Dasatanib	-0.222192
P9	Camptothecin	-2.136992
P9	PF-562271	1.2610869999999998
P9	Embelin	5.9646045
P9	Fulvestrant	3.5892290000000004
P9	BX-795	0.915791
P9	RO-3306	5.461607
P9	GSK1120212/Tramatenib	-3.796064
P9	JNK Inhibitor VIII	6.341379
P9	GSK269962A	2.651924
P9	Bortezomib	-1.555684
P9	Temozolomide	7.369210499999999
P9	AZD6482	5.5360510000000005
P9	PD-0332991	1.929819
P9	AZ960	2.929119
P25	PF-02341066	3.24079
P25	BIRB 0796	6.791779
P25	AZD-2281	4.7709494999999995
P25	OSI-906	2.634248
P25	Mirin	4.7343305
P25	Axitinib	4.807933
P25	Vorinostat	1.169986
P25	MLN8237	2.0649835
P25	5-Fluorouracil	5.4892005
P25	EHT 1864	2.8890890000000002
P25	YK 4-279	4.879969
P25	BMS-536924	0.8370579999999999
P25	SGC0946	2.4817375000000004
P25	AZD8931	1.6938315
P25	Obatoclax Mesylate	0.7895015
P25	SB-505124	2.462069
P25	XAV 939	3.7570094999999997
P25	Oxaliplatin	5.975889499999999
P25	Nilotinib	5.1398174999999995
P25	AMG-706	3.6146405
P25	PLX4720	4.841748
P25	SB 216763	4.2244355
P25	CHIR-99021	5.460209
P25	BIBW2992/Afatanib	0.6540725
P25	SCH772984	0.8899725
P25	BMN-673	2.784048
P25	Gefitinib	1.0392775
P25	SL 0101-1	5.3777735
P25	PD-173074	4.2948585
P25	NU-7441	4.3229299999999995
P25	(5Z)-7-Oxozeaenol	2.1824575
P25	681640	3.8460595
P25	GDC-0449	5.483014
P25	AZD8055	0.10263199999999997
P25	Gemcitibine	-0.24013149999999994
P25	Docetaxel	-1.8434645
P25	AKT inhibitor VIII	2.1164199999999997
P25	FK866	2.3912255
P25	BI-2536	-2.5532760000000003
P25	PF-4708671	3.025162
P25	Lenalidomide	4.8390439999999995
P25	LY317615	4.3872515
P25	Nutlin-3a	5.899939999999999
P25	INCB-18424/Ruxolitinib	6.111745
P25	BYL719	2.6979585000000004
P25	Paclitaxel	-3.888887
P25	GDC0941	0.9515445000000001
P25	ABT-263	4.0134345
P25	MK-2206	1.202785
P25	UNC0642	3.7648335
P25	GW 441756	3.6054625
P25	PAC-1	1.9688970000000001
P25	17-AAG	-1.1842375
P25	AICAR	1.982033
P25	NVP-BEZ235	-2.388634
P25	Cisplatin	2.1979105
P25	BMS-345541	3.518506
P25	BMS-708163	3.990054
P25	KU-55933	5.530452
P25	JQ1	-0.1755235
P25	JNJ-26854165	3.2962325000000003
P25	Sorafenib	3.59588
P25	CEP-701	0.31845100000000004
P25	PF477736	0.2989325
P25	Cetuximab	5.797305
P25	GSK2118436/Dabrafenib	5.659791
P25	Irinotecan	0.8185755
P25	ZM-447439	3.6312745
P25	Dasatanib	0.3881785
P25	Camptothecin	0.403649
P25	PF-562271	0.5954499999999999
P25	Embelin	4.879564
P25	Fulvestrant	3.0976350000000004
P25	BX-795	3.6494109999999997
P25	RO-3306	5.039069
P25	GSK1120212/Tramatenib	-2.221846
P25	JNK Inhibitor VIII	5.6804665
P25	GSK269962A	3.155805
P25	Bortezomib	-4.131214
P25	Temozolomide	4.882296999999999
P25	AZD6482	5.535374
P25	PD-0332991	1.7703995000000001
P25	AZ960	5.6000055
P11	PF-02341066	4.016863
P11	BIRB 0796	6.779094499999999
P11	AZD-2281	5.4813659999999995
P11	OSI-906	5.449001000000001
P11	Mirin	7.9182945
P11	Axitinib	4.5474654999999995
P11	Vorinostat	4.714565
P11	MLN8237	1.3717219999999999
P11	5-Fluorouracil	7.0672025000000005
P11	EHT 1864	3.9037129999999998
P11	YK 4-279	3.8504765
P11	BMS-536924	3.1730045
P11	SGC0946	2.9636825
P11	AZD8931	2.062697
P11	Obatoclax Mesylate	1.4412165000000001
P11	SB-505124	5.681254
P11	XAV 939	5.860102
P11	Oxaliplatin	6.8774025000000005
P11	Nilotinib	5.001193000000001
P11	AMG-706	4.9256165
P11	PLX4720	6.3616785
P11	SB 216763	5.716844
P11	CHIR-99021	6.459848
P11	BIBW2992/Afatanib	2.044149
P11	SCH772984	4.4305959999999995
P11	BMN-673	5.261520000000001
P11	Gefitinib	2.9708245
P11	SL 0101-1	6.1643764999999995
P11	PD-173074	4.8153235
P11	NU-7441	5.4165685
P11	(5Z)-7-Oxozeaenol	4.8781985
P11	681640	3.9887025
P11	GDC-0449	5.9833645
P11	AZD8055	3.2375335
P11	Gemcitibine	4.626596
P11	Docetaxel	-0.7545405000000001
P11	AKT inhibitor VIII	6.319521
P11	FK866	4.0126475
P11	BI-2536	1.7674905
P11	PF-4708671	3.593026
P11	Lenalidomide	6.228005
P11	LY317615	5.698221
P11	Nutlin-3a	5.53856
P11	INCB-18424/Ruxolitinib	6.746596
P11	BYL719	3.7643344999999995
P11	Paclitaxel	-0.8311765
P11	GDC0941	5.2019435
P11	ABT-263	4.693143
P11	MK-2206	5.5866430000000005
P11	UNC0642	3.5676445
P11	GW 441756	4.7092595
P11	PAC-1	4.676216500000001
P11	17-AAG	1.002369
P11	AICAR	6.6092580000000005
P11	NVP-BEZ235	3.15735
P11	Cisplatin	5.1953475000000005
P11	BMS-345541	5.96535
P11	BMS-708163	5.022822
P11	KU-55933	6.8472495
P11	JQ1	0.6920085
P11	JNJ-26854165	5.227973
P11	Sorafenib	5.224968
P11	CEP-701	4.3952365
P11	PF477736	3.146555
P11	Cetuximab	7.156081499999999
P11	GSK2118436/Dabrafenib	6.605288000000001
P11	Irinotecan	3.6717109999999997
P11	ZM-447439	5.610979
P11	Dasatanib	4.010286000000001
P11	Camptothecin	1.6480609999999998
P11	PF-562271	2.728609
P11	Embelin	4.861417
P11	Fulvestrant	3.4665065
P11	BX-795	5.504522
P11	RO-3306	5.2109115
P11	GSK1120212/Tramatenib	-1.7785625
P11	JNK Inhibitor VIII	6.722434499999999
P11	GSK269962A	5.0613790000000005
P11	Bortezomib	-1.7441579999999999
P11	Temozolomide	7.586235
P11	AZD6482	6.222969
P11	PD-0332991	4.328823
P11	AZ960	5.943673
P24a	PF-02341066	4.237762
P24a	BIRB 0796	3.012494
P24a	AZD-2281	4.232471
P24a	OSI-906	4.6884955
P24a	Mirin	7.183165499999999
P24a	Axitinib	2.894262
P24a	Vorinostat	2.289948
P24a	MLN8237	4.6116405
P24a	5-Fluorouracil	7.404151
P24a	EHT 1864	1.1408085
P24a	YK 4-279	2.4950574999999997
P24a	BMS-536924	4.4290405
P24a	SGC0946	1.5518100000000001
P24a	AZD8931	5.596447
P24a	Obatoclax Mesylate	-0.20641199999999998
P24a	SB-505124	3.443743
P24a	XAV 939	3.539846
P24a	Oxaliplatin	6.5862300000000005
P24a	Nilotinib	3.864144
P24a	AMG-706	4.555625
P24a	PLX4720	5.4321755
P24a	SB 216763	6.34425
P24a	CHIR-99021	6.251306
P24a	BIBW2992/Afatanib	3.511481
P24a	SCH772984	5.7489235
P24a	BMN-673	2.7257705
P24a	Gefitinib	2.7623225
P24a	SL 0101-1	1.091801
P24a	PD-173074	5.016414
P24a	NU-7441	4.735744
P24a	(5Z)-7-Oxozeaenol	4.700442
P24a	681640	4.006412
P24a	GDC-0449	5.453688
P24a	AZD8055	0.8749049999999999
P24a	Gemcitibine	3.3346865
P24a	Docetaxel	-0.36643200000000004
P24a	AKT inhibitor VIII	4.261137
P24a	FK866	2.52245
P24a	BI-2536	2.370915
P24a	PF-4708671	1.256653
P24a	Lenalidomide	5.4062410000000005
P24a	LY317615	5.75466
P24a	Nutlin-3a	6.517987000000001
P24a	INCB-18424/Ruxolitinib	4.7347595
P24a	BYL719	3.100025
P24a	Paclitaxel	-2.385834
P24a	GDC0941	3.5412790000000003
P24a	ABT-263	4.403598000000001
P24a	MK-2206	1.911534
P24a	UNC0642	1.7087510000000001
P24a	GW 441756	2.612264
P24a	PAC-1	3.4867204999999997
P24a	17-AAG	-0.052534000000000004
P24a	AICAR	5.003843
P24a	NVP-BEZ235	-2.0948330000000004
P24a	Cisplatin	1.135728
P24a	BMS-345541	4.1735185
P24a	BMS-708163	3.9525699999999997
P24a	KU-55933	6.238642
P24a	JQ1	3.2373790000000002
P24a	JNJ-26854165	1.931092
P24a	Sorafenib	3.031346
P24a	CEP-701	1.863809
P24a	PF477736	3.6646545
P24a	Cetuximab	6.933481
P24a	GSK2118436/Dabrafenib	4.837657
P24a	Irinotecan	4.1692735
P24a	ZM-447439	5.683407
P24a	Dasatanib	2.903007
P24a	Camptothecin	-0.012611
P24a	PF-562271	2.5066015
P24a	Embelin	3.418832
P24a	Fulvestrant	2.7289795000000003
P24a	BX-795	3.9908080000000004
P24a	RO-3306	4.2710300000000005
P24a	GSK1120212/Tramatenib	-0.71632
P24a	JNK Inhibitor VIII	2.3489955
P24a	GSK269962A	1.2113770000000001
P24a	Bortezomib	-4.3908255
P24a	Temozolomide	7.320543499999999
P24a	AZD6482	5.684966
