Organoid	Drug_ID	Drug Name	Max_conc	IC50	BETA	AUC
P10	1024	CEP-701	2	-0.061357	0.938341	0.7725
P10	1025	SB 216763	10	4.402003	0.885515	0.944875
P10	1025	SB 216763	10	2.868686	0.870921	0.9175
P10	1025	SB 216763	10	3.755614	0.834353	0.8725
P10	1026	17-AAG	1	-1.54113	1.045953	0.815
P10	1026	17-AAG	1	-0.558374	1.153546	0.685
P10	1026	17-AAG	1	-1.23848	1.250636	0.73875
P10	1029	AMG-706	2	4.725088	1.013585	0.991987
P10	1029	AMG-706	2	4.710955	0.984558	0.984625
P10	1029	AMG-706	2	4.390185	0.949131	0.991987
P10	1030	KU-55933	10	5.761043	0.969601	0.963625
P10	1030	KU-55933	10	4.88359	0.941244	0.984625
P10	1030	KU-55933	10	5.89032	0.95986	0.983375
P10	1032	BIBW2992/Afatanib	0.5	0.12762	0.897674	0.991988
P10	1032	BIBW2992/Afatanib	0.5	1.216439	0.754009	0.9175
P10	1032	BIBW2992/Afatanib	0.5	3.181881	1.002769	0.89
P10	1033	GDC-0449	10	6.585196	1.003871	0.982125
P10	1033	GDC-0449	10	5.704907	0.933229	0.958625
P10	1033	GDC-0449	10	5.18144	0.818879	0.993238
P10	1036	PLX4720	10	5.460174	0.903751	0.92125
P10	1036	PLX4720	10	4.67104	0.687008	0.977125
P10	1036	PLX4720	10	5.276434	0.933792	0.975875
P10	1037	BX-795	5	1.611474	0.83147	0.9
P10	1037	BX-795	5	0.11001	0.619071	0.6475
P10	1037	BX-795	5	2.804591	0.799537	0.82875
P10	1038	NU-7441	2	4.190507	0.962285	0.977125
P10	1038	NU-7441	2	3.794307	0.945816	0.943625
P10	1038	NU-7441	2	2.841505	0.842755	0.983375
P10	1039	SL 0101-1	10	6.512108	1.009311	0.978375
P10	1039	SL 0101-1	10	5.900939	0.995217	0.993237
P10	1039	SL 0101-1	10	5.437691	0.983722	0.985987
P10	1042	BIRB 0796	10	6.670002	1.026639	0.994487
P10	1042	BIRB 0796	10	5.703398	0.912164	0.979625
P10	1042	BIRB 0796	10	5.315999	0.949836	0.977125
P10	1043	JNK Inhibitor VIII	10	4.705135	0.75129	0.991987
P10	1043	JNK Inhibitor VIII	10	6.169467	0.972391	0.988487
P10	1043	JNK Inhibitor VIII	10	6.327952	0.99487	0.9375
P10	1046	681640	2	5.014787	1.009178	0.977125
P10	1046	681640	2	4.264886	0.983414	0.994487
P10	1046	681640	2	3.665384	0.964923	0.984738
P10	1047	Nutlin-3a	8	4.267952	0.802951	0.9375
P10	1047	Nutlin-3a	8	5.925531	1.012159	0.956125
P10	1047	Nutlin-3a	8	4.595552	0.885094	0.991987
P10	1048	Mirin	100	4.480956	0.914657	0.83375
P10	1048	Mirin	100	5.381944	1.012377	0.83125
P10	1048	Mirin	100	4.495209	0.906799	0.907375
P10	1049	PD-173074	2	4.770742	1.041379	0.988487
P10	1049	PD-173074	2	4.384036	1.017575	0.993237
P10	1049	PD-173074	2	4.851834	1.005762	0.993237
P10	1050	ZM-447439	4	5.870224	1.036968	0.994712
P10	1050	ZM-447439	4	4.158859	0.905873	0.968625
P10	1050	ZM-447439	4	5.491695	1.022377	0.993237
P10	1051	MLN8237	2	3.54347	0.865776	0.962375
P10	1051	MLN8237	2	3.611622	0.842624	0.966125
P10	1051	MLN8237	2	2.850391	0.873797	0.943625
P10	1052	RO-3306	5	5.31163	0.980392	0.994487
P10	1052	RO-3306	5	5.924348	1.028346	0.970875
P10	1052	RO-3306	5	4.417283	0.923787	0.985988
P10	1053	MK-2206	4	0.972411	0.537421	0.71875
P10	1053	MK-2206	4	1.18897	0.643808	0.4825
P10	1053	MK-2206	4	-1.537888	0.854311	0.76375
P10	1054	PD-0332991	4	2.361136	0.685619	0.951125
P10	1054	PD-0332991	4	4.930797	0.990091	0.8625
P10	1054	PD-0332991	4	3.746522	0.851997	0.984738
P10	1055	PF477736	1	3.87012	0.998946	0.991987
P10	1055	PF477736	1	3.834992	0.970654	0.988487
P10	1055	PF477736	1	4.221852	1.050985	0.994712
P10	1057	NVP-BEZ235	0.25	-1.197761	0.847233	0.82625
P10	1057	NVP-BEZ235	0.25	-3.463035	0.889184	0.60875
P10	1057	NVP-BEZ235	0.25	-1.419707	0.836511	0.845
P10	1058	GDC0941	4	5.395566	1.016949	0.952375
P10	1058	GDC0941	4	0.938678	0.599929	0.7375
P10	1058	GDC0941	4	3.923429	0.834172	0.993237
P10	1058	GDC0941	4	0.854916	0.6455	0.80125
P10	1058	GDC0941	4	2.095901	0.509773	0.7875
P10	1058	GDC0941	4	2.056005	0.549333	0.74125
P10	1059	AZD8055	2	3.015365	0.866005	0.936125
P10	1059	AZD8055	2	2.526462	0.862794	0.86
P10	1059	AZD8055	2	1.051223	0.848914	0.949875
P10	1066	AZD6482	5	3.088306	0.75785	0.994712
P10	1066	AZD6482	5	5.976061	1.03968	0.905
P10	1066	AZD6482	5	4.197168	0.896087	0.959875
P10	1068	Obatoclax Mesylate	10	0.458558	0.93438	0.702375
P10	1068	Obatoclax Mesylate	10	3.936211	1.050995	0.6375
P10	1068	Obatoclax Mesylate	10	0.722551	1.522463	0.936125
P10	1068	Obatoclax Mesylate	10	-0.354183	0.885593	0.52625
P10	1068	Obatoclax Mesylate	10	0.058546	0.877157	0.52375
P10	1068	Obatoclax Mesylate	10	-0.271967	0.881592	0.58
P10	1069	EHT 1864	10	5.005507	0.977848	0.949875
P10	1069	EHT 1864	10	4.160928	1.000366	0.970875
P10	1069	EHT 1864	10	4.842668	0.878612	0.956125
P10	1072	BMS-708163	5	5.162563	1.000434	0.984625
P10	1072	BMS-708163	5	4.001227	0.784742	0.94
P10	1072	BMS-708163	5	5.296913	0.948375	0.984738
P10	1073	5-Fluorouracil	20	4.810492	0.813117	0.92625
P10	1073	5-Fluorouracil	20	2.68893	0.585933	0.745
P10	1073	5-Fluorouracil	20	3.966824	0.813891	0.8875
P10	1079	Dasatanib	0.5	3.342556	1.014268	0.968625
P10	1079	Dasatanib	0.5	2.326041	0.869847	0.993237
P10	1079	Dasatanib	0.5	1.065866	0.773137	0.91625
P10	1080	Paclitaxel	0.01	-1.777605	0.877728	0.966125
P10	1080	Paclitaxel	0.01	-3.126343	0.772904	0.979625
P10	1080	Paclitaxel	0.01	-1.316418	0.935573	0.91125
P10	1083	PF-02341066	1	4.223472	1.034437	0.970875
P10	1083	PF-02341066	1	2.815117	0.927051	0.875
P10	1083	PF-02341066	1	0.53086	0.886915	0.994487
P10	1085	Sorafenib	4	3.150322	0.784872	0.92
P10	1085	Sorafenib	4	4.515782	0.936821	0.938625
P10	1085	Sorafenib	4	3.325442	0.852155	0.977125
P10	1086	BI-2536	0.5	-1.824894	0.598517	0.64625
P10	1086	BI-2536	0.5	-1.39972	0.613911	0.675
P10	1086	BI-2536	0.5	-1.885629	0.523601	0.7175
P10	1088	Irinotecan	5	1.757574	0.685325	0.80875
P10	1088	Irinotecan	5	2.060854	0.668456	0.8275
P10	1088	Irinotecan	5	1.900221	0.829834	0.85375
P10	1089	Oxaliplatin	20	5.438958	0.868051	0.977125
P10	1089	Oxaliplatin	20	6.169145	0.934445	0.991987
P10	1089	Oxaliplatin	20	6.939554	1.005151	0.956125
P10	1091	BMS-536924	4	2.23467	0.684297	0.82125
P10	1091	BMS-536924	4	1.888571	0.658815	0.855
P10	1091	BMS-536924	4	1.73836	0.66976	0.8275
P10	1114	Cetuximab	32.9	6.044047	0.816605	0.952375
P10	1114	Cetuximab	32.9	5.007274	0.700781	0.963625
P10	1114	Cetuximab	32.9	6.484199	0.859563	0.89
P10	1116	AKT inhibitor VIII	5	5.484559	1.014568	0.984625
P10	1116	AKT inhibitor VIII	5	2.797188	0.857278	0.991988
P10	1116	AKT inhibitor VIII	5	5.166389	0.956117	0.905
P10	1129	PF-4708671	10	3.096531	1.051402	0.872375
P10	1129	PF-4708671	10	4.442638	1.074123	0.8675
P10	1129	PF-4708671	10	2.644463	0.941936	0.965875
P10	1133	JNJ-26854165	10	4.564038	0.925512	0.835
P10	1133	JNJ-26854165	10	2.819142	0.677324	0.84625
P10	1133	JNJ-26854165	10	2.386663	0.897294	0.954875
P10	1134	LY317615	10	2.839914	0.790473	0.88625
P10	1134	LY317615	10	2.432403	0.863009	0.8475
P10	1134	LY317615	10	3.098665	0.833427	0.8625
P10	1150	Embelin	10	5.000246	0.910543	0.94
P10	1150	Embelin	10	4.585553	0.778372	0.977125
P10	1150	Embelin	10	5.414842	0.900706	0.964875
P10	1190	Gemcitibine	10	2.652796	0.494108	0.75625
P10	1190	Gemcitibine	10	-2.740439	0.440887	0.7125
P10	1190	Gemcitibine	10	2.237499	0.454369	0.3425
P10	1191	Bortezomib	0.02	-4.218263	1.236052	0.953625
P10	1191	Bortezomib	0.02	-2.610722	1.088914	0.898625
P10	1191	Bortezomib	0.02	-1.736594	0.991717	0.816125
P10	1192	GSK269962A	5	4.021276	0.874653	0.93875
P10	1192	GSK269962A	5	3.670864	0.812814	0.956125
P10	1192	GSK269962A	5	4.060121	0.920236	0.959875
P10	1194	SB-505124	10	3.542984	0.780642	0.984625
P10	1194	SB-505124	10	5.951448	0.94681	0.9
P10	1194	SB-505124	10	5.827285	0.957394	0.984625
P10	1200	Fulvestrant	1	3.769815	0.975044	0.90625
P10	1200	Fulvestrant	1	1.86391	0.706327	0.967375
P10	1200	Fulvestrant	1	2.754567	0.923731	0.988487
P10	1218	JQ1	1	0.273026	0.857909	0.895
P10	1218	JQ1	1	1.06744	0.820375	0.69
P10	1218	JQ1	1	-1.124545	0.651446	0.84875
P10	1239	YK 4-279	10	3.706408	0.677805	0.88125
P10	1239	YK 4-279	10	2.075022	0.834881	0.80875
P10	1239	YK 4-279	10	3.120626	0.754948	0.87
P10	1241	CHIR-99021	10	6.529983	1.006844	0.991987
P10	1241	CHIR-99021	10	4.253251	0.941546	0.947375
P10	1241	CHIR-99021	10	6.172287	1.020186	0.993237
P10	1242	(5Z)-7-Oxozeaenol	10	5.28563	1.026442	0.964625
P10	1242	(5Z)-7-Oxozeaenol	10	3.587948	1.038773	0.982125
P10	1242	(5Z)-7-Oxozeaenol	10	4.549588	1.053278	0.927375
P10	1248	FK866	1	3.516827	0.941613	0.952375
P10	1248	FK866	1	2.480458	0.830693	0.983375
P10	1248	FK866	1	3.237259	0.950008	0.978375
P10	1249	BMS-345541	10	2.8947	1.00548	0.898625
P10	1249	BMS-345541	10	4.251166	1.010004	0.948625
P10	1249	BMS-345541	10	2.562283	1.028398	0.82875
P10	1250	AZ960	10	3.077972	0.640967	0.964875
P10	1250	AZ960	10	4.958615	0.913974	0.835
P10	1250	AZ960	10	1.214103	1.064288	0.75125
P10	1259	BMN-673	10	2.819946	0.655423	0.82875
P10	1259	BMN-673	10	2.745416	0.667015	0.7725
P10	1259	BMN-673	10	2.276837	0.618485	0.82
P10	1263	UNC0642	0.5	3.496973	1.031878	0.993237
P10	1263	UNC0642	0.5	3.101541	0.959768	0.988487
P10	1263	UNC0642	0.5	2.301479	0.899253	0.969875
P10	1264	SGC0946	0.5	2.233229	0.843857	0.993237
P10	1264	SGC0946	0.5	3.483689	1.007801	0.991988
P10	1264	SGC0946	0.5	3.289525	0.972452	0.962375
P10	1268	XAV 939	5	4.441102	0.975842	0.993237
P10	1268	XAV 939	5	5.910737	1.026322	0.974625
P10	1268	XAV 939	5	4.876364	0.962632	0.982125
P10	1372	GSK1120212/Tramatenib	1	-4.773502	0.604102	0.62
P10	1372	GSK1120212/Tramatenib	1	-2.653996	0.534944	0.31125
P10	1372	GSK1120212/Tramatenib	1	-1.648728	0.581905	0.51625
P10	1372	GSK1120212/Tramatenib	1	-2.93203	0.518614	0.49
P10	1372	GSK1120212/Tramatenib	1	-3.143199	0.488036	0.475
P10	1372	GSK1120212/Tramatenib	1	-3.861333	0.480751	0.41625
P10	1373	GSK2118436/Dabrafenib	10	3.79267	0.775448	0.90625
P10	1373	GSK2118436/Dabrafenib	10	1.120508	0.705529	0.6025
P10	1373	GSK2118436/Dabrafenib	10	4.431833	0.844355	0.93875
P10	1375	Temozolomide	30	6.039534	0.776092	0.945
P10	1375	Temozolomide	30	5.750488	0.823285	0.984737
P10	1375	Temozolomide	30	7.159416	0.971205	0.944875
P10	1504	PF-562271	10	2.04476	1.073296	0.8425
P10	1504	PF-562271	10	1.276029	0.931888	0.74375
P10	1504	PF-562271	10	0.329734	0.834499	0.61375
P10	1506	PAC-1	10	4.763757	0.883497	0.956125
P10	1506	PAC-1	10	5.545686	0.96366	0.982125
P10	1506	PAC-1	10	6.166336	1.009041	0.991988
P10	1507	INCB-18424/Ruxolitinib	10	6.489075	0.994211	0.994712
P10	1507	INCB-18424/Ruxolitinib	10	5.786352	0.931756	0.993237
P10	1507	INCB-18424/Ruxolitinib	10	6.737569	1.031338	0.983375
P10	1510	OSI-906	2.5	0.135547	0.576911	0.88125
P10	1510	OSI-906	2.5	0.217242	0.5919	0.69875
P10	1510	OSI-906	2.5	2.428528	0.655301	0.7125
P10	1549	AZD8931	5	1.968633	0.705828	0.8275
P10	1549	AZD8931	5	1.28286	0.645111	0.76
P10	1549	AZD8931	5	4.160568	0.932579	0.963625
P10	1560	BYL719	5	2.288931	0.797514	0.87375
P10	1560	BYL719	5	3.590844	0.852485	0.942375
P10	1560	BYL719	5	3.733927	0.865607	0.943625
P10	1564	SCH772984	5	3.380271	0.790374	0.92375
P10	1564	SCH772984	5	3.785712	0.846177	0.943625
P10	1564	SCH772984	5	4.808252	0.960744	0.982125
P11	1001	AICAR	100	5.823006	1.218195	0.908375
P11	1001	AICAR	100	7.39551	1.051319	0.977125
P11	1003	Camptothecin	0.1	1.335233	0.993624	0.993237
P11	1003	Camptothecin	0.1	1.960889	1.02104	0.985988
P11	1005	Cisplatin	6	5.959265	0.975608	0.993237
P11	1005	Cisplatin	6	4.43143	0.947954	0.970875
P11	1007	Docetaxel	0.0125	-0.011214	1.009375	0.993237
P11	1007	Docetaxel	0.0125	-1.497867	0.934077	0.975875
P11	1010	Gefitinib	0.5	2.287574	0.888822	0.969875
P11	1010	Gefitinib	0.5	3.654075	1.006864	0.993237
P11	1011	ABT-263	2	4.860046	1.024613	0.993237
P11	1011	ABT-263	2	4.52624	0.975634	0.988487
P11	1012	Vorinostat	10	3.371346	1.045348	0.919875
P11	1012	Vorinostat	10	6.057784	0.958693	0.984738
P11	1013	Nilotinib	2	4.977056	1.000506	0.993237
P11	1013	Nilotinib	2	5.02533	0.97825	0.993237
P11	1017	AZD-2281	5	5.933729	1.012549	0.993237
P11	1017	AZD-2281	5	5.029003	0.961727	0.983375
P11	1020	Lenalidomide	5	6.177907	1.015243	0.994712
P11	1020	Lenalidomide	5	6.278103	1.047596	0.994712
P11	1021	Axitinib	2	3.729653	0.994445	0.994712
P11	1021	Axitinib	2	5.365278	1.047639	0.978375
P11	1023	GW 441756	2	5.217393	1.006878	0.994487
P11	1023	GW 441756	2	4.201126	0.931343	0.982125
P11	1024	CEP-701	2	4.137718	0.881315	0.978375
P11	1024	CEP-701	2	4.652755	0.94676	0.988487
P11	1025	SB 216763	10	5.267353	0.987636	0.988487
P11	1025	SB 216763	10	6.166335	0.974423	0.977125
P11	1026	17-AAG	1	0.656149	0.822808	0.8825
P11	1026	17-AAG	1	1.348589	1.071582	0.934875
P11	1029	AMG-706	2	4.73644	1.00915	0.993237
P11	1029	AMG-706	2	5.114793	1.020969	0.994487
P11	1030	KU-55933	10	6.801746	1.02897	0.994712
P11	1030	KU-55933	10	6.892753	1.045761	0.994712
P11	1032	BIBW2992/Afatanib	0.5	0.463387	1.028202	0.918625
P11	1032	BIBW2992/Afatanib	0.5	3.624911	1.031494	0.994488
P11	1033	GDC-0449	10	6.215262	0.941225	0.978375
P11	1033	GDC-0449	10	5.751467	0.87466	0.985987
P11	1036	PLX4720	10	6.669605	1.017979	0.991988
P11	1036	PLX4720	10	6.053752	0.935801	0.994487
P11	1037	BX-795	5	5.850453	0.973515	0.983375
P11	1037	BX-795	5	5.158591	0.952032	0.991987
P11	1038	NU-7441	2	5.410588	1.072504	0.998213
P11	1038	NU-7441	2	5.422549	1.047493	0.995962
P11	1039	SL 0101-1	10	5.706475	0.944603	0.993237
P11	1039	SL 0101-1	10	6.622278	1.000067	0.982125
P11	1042	BIRB 0796	10	6.846743	1.046364	0.994488
P11	1042	BIRB 0796	10	6.711446	1.027289	0.994712
P11	1043	JNK Inhibitor VIII	10	6.577376	0.96787	0.993238
P11	1043	JNK Inhibitor VIII	10	6.867493	1.031726	0.994712
P11	1046	681640	2	3.560226	0.878426	0.984625
P11	1046	681640	2	4.417179	0.920588	0.968625
P11	1047	Nutlin-3a	8	6.540581	1.002885	0.963625
P11	1047	Nutlin-3a	8	4.536539	0.920954	0.994488
P11	1048	Mirin	100	7.451176	0.881384	0.984625
P11	1048	Mirin	100	8.385413	0.941446	0.968625
P11	1049	PD-173074	2	4.690704	0.989804	0.991987
P11	1049	PD-173074	2	4.939943	0.99553	0.993237
P11	1050	ZM-447439	4	5.529907	1.000408	0.993237
P11	1050	ZM-447439	4	5.692051	0.99473	0.993237
P11	1051	MLN8237	2	5.277974	1.050835	0.46625
P11	1051	MLN8237	2	-2.53453	0.367984	0.994712
P11	1052	RO-3306	5	5.531689	0.967913	0.969875
P11	1052	RO-3306	5	4.890134	0.830842	0.988487
P11	1053	MK-2206	4	5.515058	0.99313	0.993237
P11	1053	MK-2206	4	5.658228	0.996809	0.993237
P11	1054	PD-0332991	4	5.287578	1.00379	0.93
P11	1054	PD-0332991	4	3.370068	0.766234	0.991987
P11	1055	PF477736	1	3.112301	0.897541	0.975875
P11	1055	PF477736	1	3.180809	0.934511	0.977125
P11	1057	NVP-BEZ235	0.25	3.144915	1.027708	0.994488
P11	1057	NVP-BEZ235	0.25	3.169785	1.016948	0.994712
P11	1058	GDC0941	4	4.84697	0.944288	0.991987
P11	1058	GDC0941	4	5.510488	0.977943	0.982125
P11	1058	GDC0941	4	5.244081	0.996341	0.991988
P11	1058	GDC0941	4	5.159806	0.968939	0.985988
P11	1059	AZD8055	2	2.017601	1.04558	0.938625
P11	1059	AZD8055	2	4.457466	0.952661	0.985987
P11	1066	AZD6482	5	6.123131	1.033551	0.998213
P11	1066	AZD6482	5	6.322807	1.077268	0.994712
P11	1068	Obatoclax Mesylate	10	0.942327	1.281112	0.73
P11	1068	Obatoclax Mesylate	10	1.940106	1.149122	0.81125
P11	1068	Obatoclax Mesylate	10	-0.068263	1.527674	0.836125
P11	1068	Obatoclax Mesylate	10	2.330366	1.128846	0.56875
P11	1069	EHT 1864	10	5.314171	0.932756	0.975875
P11	1069	EHT 1864	10	2.493255	1.004242	0.8725
P11	1072	BMS-708163	5	5.336616	0.934114	0.977125
P11	1072	BMS-708163	5	4.709028	0.922797	0.984625
P11	1073	5-Fluorouracil	20	6.690347	0.958693	0.984625
P11	1073	5-Fluorouracil	20	7.444058	1.034015	0.994712
P11	1079	Dasatanib	0.5	3.90073	1.011396	0.994712
P11	1079	Dasatanib	0.5	4.119842	1.064302	0.998213
P11	1080	Paclitaxel	0.01	-1.058831	0.93488	0.983375
P11	1080	Paclitaxel	0.01	-0.603522	0.973386	0.991988
P11	1083	PF-02341066	1	4.598827	1.019996	0.994712
P11	1083	PF-02341066	1	3.434899	0.965321	0.983375
P11	1085	Sorafenib	4	5.169114	0.956919	0.985987
P11	1085	Sorafenib	4	5.280822	0.962025	0.988487
P11	1086	BI-2536	0.5	1.237879	0.715035	0.977125
P11	1086	BI-2536	0.5	2.297102	0.974823	0.91875
P11	1088	Irinotecan	5	2.094645	0.714252	0.8425
P11	1088	Irinotecan	5	5.248777	0.934229	0.984625
P11	1089	Oxaliplatin	20	7.043123	1.01367	0.993237
P11	1089	Oxaliplatin	20	6.711682	1.01243	0.990737
P11	1091	BMS-536924	4	4.779443	0.92915	0.982125
P11	1091	BMS-536924	4	1.566566	0.823823	0.84375
P11	1114	Cetuximab	32.9	6.16891	0.954216	0.994712
P11	1114	Cetuximab	32.9	8.143253	1.0506	0.970875
P11	1116	AKT inhibitor VIII	5	6.475831	1.057958	0.994713
P11	1116	AKT inhibitor VIII	5	6.163211	1.036073	0.998212
P11	1129	PF-4708671	10	3.343771	1.210938	0.901125
P11	1129	PF-4708671	10	3.842281	1.068876	0.934875
P11	1133	JNJ-26854165	10	6.862064	1.043998	0.933625
P11	1133	JNJ-26854165	10	3.593882	1.007494	0.994712
P11	1134	LY317615	10	5.737466	0.949212	0.983375
P11	1134	LY317615	10	5.658976	0.797985	0.967375
P11	1150	Embelin	10	4.790455	0.869916	0.959875
P11	1150	Embelin	10	4.932379	0.882929	0.957375
P11	1190	Gemcitibine	10	5.26841	0.845576	0.88
P11	1190	Gemcitibine	10	3.984782	0.621616	0.963625
P11	1191	Bortezomib	0.02	-1.037995	0.948927	0.931125
P11	1191	Bortezomib	0.02	-2.450321	0.888023	0.975875
P11	1192	GSK269962A	5	4.603754	0.893083	0.969875
P11	1192	GSK269962A	5	5.519004	0.971226	0.988487
P11	1194	SB-505124	10	5.775139	0.931215	0.978375
P11	1194	SB-505124	10	5.587369	0.899748	0.982125
P11	1200	Fulvestrant	1	3.986125	0.973699	0.991988
P11	1200	Fulvestrant	1	2.946888	0.865455	0.969875
P11	1218	JQ1	1	-0.179833	1.199629	0.831125
P11	1218	JQ1	1	1.56385	0.980922	0.942375
P11	1239	YK 4-279	10	2.220503	0.755021	0.805
P11	1239	YK 4-279	10	5.48045	0.964578	0.978375
P11	1241	CHIR-99021	10	6.246449	1.003209	0.991988
P11	1241	CHIR-99021	10	6.673247	1.027045	0.994488
P11	1242	(5Z)-7-Oxozeaenol	10	4.427226	0.95512	0.949875
P11	1242	(5Z)-7-Oxozeaenol	10	5.329171	0.736844	0.95125
P11	1248	FK866	1	4.059068	1.019552	0.991988
P11	1248	FK866	1	3.966227	0.996763	0.993237
P11	1249	BMS-345541	10	5.922958	0.923873	0.985988
P11	1249	BMS-345541	10	6.007742	0.979908	0.983375
P11	1250	AZ960	10	6.309543	1.017768	0.982125
P11	1250	AZ960	10	5.577803	0.986525	0.993237
P11	1259	BMN-673	10	5.668047	0.947468	0.956125
P11	1259	BMN-673	10	4.854993	0.841519	0.982125
P11	1263	UNC0642	0.5	3.341041	1.004172	0.994713
P11	1263	UNC0642	0.5	3.794248	1.028373	0.991987
P11	1264	SGC0946	0.5	3.018399	0.98493	0.984738
P11	1264	SGC0946	0.5	2.908966	0.98157	0.985987
P11	1268	XAV 939	5	5.63515	0.980824	0.991987
P11	1268	XAV 939	5	6.085054	1.045688	0.994712
P11	1372	GSK1120212/Tramatenib	1	-2.391679	0.798885	0.56125
P11	1372	GSK1120212/Tramatenib	1	-1.165446	0.739308	0.70375
P11	1372	GSK1120212/Tramatenib	1	-0.888549	0.644214	0.28375
P11	1372	GSK1120212/Tramatenib	1	-4.941864	0.634606	0.71375
P11	1373	GSK2118436/Dabrafenib	10	6.603794	1.024142	0.993237
P11	1373	GSK2118436/Dabrafenib	10	6.606782	1.020795	0.993237
P11	1375	Temozolomide	30	7.363553	1.008302	0.991988
P11	1375	Temozolomide	30	7.808917	1.008505	0.994487
P11	1504	PF-562271	10	1.46099	0.948528	0.76875
P11	1504	PF-562271	10	3.996228	1.010789	0.946125
P11	1506	PAC-1	10	4.262746	0.960205	0.943625
P11	1506	PAC-1	10	5.089687	0.918233	0.972125
P11	1507	INCB-18424/Ruxolitinib	10	6.463997	0.999611	0.993238
P11	1507	INCB-18424/Ruxolitinib	10	7.029195	1.040305	0.994712
P11	1510	OSI-906	2.5	5.557205	1.0543	0.994713
P11	1510	OSI-906	2.5	5.340797	1.048715	0.994712
P11	1549	AZD8931	5	1.271905	0.681911	0.76875
P11	1549	AZD8931	5	2.853489	0.819882	0.9075
P11	1560	BYL719	5	4.265596	0.828514	0.957375
P11	1560	BYL719	5	3.263073	0.597054	0.8725
P11	1564	SCH772984	5	4.727358	0.837372	0.967375
P11	1564	SCH772984	5	4.133834	0.955118	0.969875
P14	1001	AICAR	100	2.403778	0.983792	0.595
P14	1001	AICAR	100	2.02853	0.734216	0.5375
P14	1001	AICAR	100	1.761963	0.768843	0.5125
P14	1001	AICAR	100	2.298926	0.937046	0.58
P14	1001	AICAR	100	3.417352	1.024808	0.7175
P14	1001	AICAR	100	2.306316	1.062692	0.575
P14	1003	Camptothecin	0.1	-1.624529	0.888545	0.8375
P14	1003	Camptothecin	0.1	-2.094707	0.87171	0.8825
P14	1003	Camptothecin	0.1	-2.282807	0.864079	0.84875
P14	1003	Camptothecin	0.1	-3.247901	1.137031	0.857375
P14	1003	Camptothecin	0.1	-1.608191	0.987685	0.875
P14	1003	Camptothecin	0.1	-1.708702	1.051669	0.76
P14	1005	Cisplatin	6	-1.600729	1.527507	0.39375
P14	1005	Cisplatin	6	-2.13426	1.186605	0.48625
P14	1005	Cisplatin	6	-1.070474	1.228522	0.28375
P14	1005	Cisplatin	6	-1.049001	0.678885	0.6225
P14	1005	Cisplatin	6	-0.059811	0.675265	0.61125
P14	1005	Cisplatin	6	0.182502	0.576102	0.5
P14	1007	Docetaxel	0.0125	-5.761072	0.840821	0.6225
P14	1007	Docetaxel	0.0125	-6.637111	0.927808	0.685
P14	1007	Docetaxel	0.0125	-6.353293	0.962551	0.575
P14	1007	Docetaxel	0.0125	-5.348038	0.810274	0.83
P14	1007	Docetaxel	0.0125	-4.231201	0.920317	0.85125
